datetime_str,x,y,z,vx,vy,vz,r_au,speed_au_per_day
A.D. 2026-May-12 00:00:00.0000,-2.142934438906472,6.665354452710711,-0.3360613491414383,-0.003116480538408427,0.0345223069333842,-0.002140503309471607,7.009426169103193,0.03472871839511104
A.D. 2026-May-17 00:00:00.0000,-2.158494392068913,6.837894705051748,-0.3467601858866416,-0.003107594162714847,0.03449401609044173,-0.002139042602703809,7.178867923599362,0.034699708799699955
A.D. 2026-May-22 00:00:00.0000,-2.174011275720087,7.010296756094418,-0.3574518823458834,-0.003099245071083418,0.03446701108725134,-0.002137646237636801,7.348357468418273,0.034672030582828924
A.D. 2026-May-27 00:00:00.0000,-2.189487665632819,7.182566813256378,-0.368136746666455,-0.003091389850571118,0.03444120474915272,-0.00213630894121289,7.517888462134584,0.034645592673146465
A.D. 2026-Jun-01 00:00:00.0000,-2.20492593259085,7.354710669274281,-0.3788150627319338,-0.003083989769602014,0.03441651804700285,-0.002135026251100398,7.6874552518178065,0.03462031259927575
A.D. 2026-Jun-06 00:00:00.0000,-2.22032826333097,7.526733739028021,-0.3894870938153431,-0.003077009791114086,0.03439287873198684,-0.002133794360370536,7.857052791690901,0.03459611502900454
A.D. 2026-Jun-11 00:00:00.0000,-2.235696677252549,7.698641091803679,-0.4001530854753844,-0.003070417957154164,0.03437022073045019,-0.002132609965923203,8.02667657158937,0.034572931098740205
A.D. 2026-Jun-16 00:00:00.0000,-2.251033041111172,7.870437480829955,-0.4108132677446175,-0.003064185136110999,0.03434848359483125,-0.002131470143232523,8.19632255543803,0.0345506978335351
A.D. 2026-Jun-21 00:00:00.0000,-2.26633908266141,8.042127369917925,-0.4214678567986315,-0.00305828482386619,0.03432761190757078,-0.00213037226307394,8.36598712800205,0.03452935752834044
A.D. 2026-Jun-26 00:00:00.0000,-2.281616403243338,8.21371495719129,-0.4321170562883197,-0.003052692920105435,0.03430755472439643,-0.002129313937446188,8.535667048325646,0.0345088571685027
A.D. 2026-Jul-01 00:00:00.0000,-2.29686648922282,8.385204196212698,-0.4427610584470472,-0.003047387497622038,0.03428826509064891,-0.002128292982026505,8.705359408799556,0.034489147923725504
