targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate,r_au,speed_au_per_day
ATLAS (C/2025 N1),2461005.5,A.D. 2025-Nov-26 00:00:00.0000,12.5,-1.524448549865742,4.5,0.7229580351592274,0.03115528767034296,-0.005989765786732078,0.03782863944168942,-0.002239780487354834,0.009746060727417098,1.687478104669473,0.02157647409170943,1.687478104669473,0.038365347291804644
ATLAS (C/2025 N1),2461006.5,A.D. 2025-Nov-27 00:00:00.0000,12.5,-1.530391919983783,4.5,0.7607643259123359,0.02891458402668301,-0.005897507214122454,0.03778384934045096,-0.00224159259906936,0.009872078872799043,1.709297470161919,0.02205893824979999,1.709297470161919,0.03830697847263244
ATLAS (C/2025 N1),2461007.5,A.D. 2025-Nov-28 00:00:00.0000,12.5,-1.536244617743405,4.5,0.7985255692671965,0.02667216883117255,-0.005808408819398302,0.03773856519856519,-0.002243205621078458,0.01000082659691914,1.731589447562337,0.02252180211701889,1.731589447562337,0.03824877629046526
ATLAS (C/2025 N1),2461008.5,A.D. 2025-Nov-29 00:00:00.0000,12.5,-1.542009765773423,4.5,0.8362413312473309,0.02442823514939678,-0.005722394742265516,0.03769290555777616,-0.002244631534449908,0.01013219251705963,1.754334751550977,0.02296569778135672,1.7543347515509773,0.038190827455021024
ATLAS (C/2025 N1),2461009.5,A.D. 2025-Nov-30 00:00:00.0000,12.5,-1.547690408727874,4.5,0.8739112917081522,0.02218296427303161,-0.005639385062002298,0.03764697959205535,-0.002245881900609249,0.010266068932826,1.777514734382588,0.02339126737662015,1.7775147343825881,0.03813321022145462
ATLAS (C/2025 N1),2461010.5,A.D. 2025-Dec-01 00:00:00.0000,12.5,-1.553289509714133,4.5,0.9115352351342582,0.01993652615394335,-0.005559296757554455,0.03760088744651271,-0.002246967833905151,0.01040235186877059,1.801111393266481,0.02379915786551305,1.8011113932664815,0.03807599482154704
ATLAS (C/2025 N1),2461011.5,A.D. 2025-Dec-02 00:00:00.0000,12.5,-1.558809947630684,4.5,0.9491130417996231,0.01768907986146669,-0.005482044567338128,0.03755472062199246,-0.002247899982505485,0.01054094108883318,1.825107372866828,0.02419001649022763,1.825107372866828,0.03801924391627923
ATLAS (C/2025 N1),2461012.5,A.D. 2025-Dec-03 00:00:00.0000,12.5,-1.564254515316192,4.5,0.9866446793297937,0.01544077405507189,-0.005407541752789666,0.03750856239248498,-0.002248688516544676,0.0106817400863306,1.84948596356942,0.02456448684716255,1.8494859635694199,0.03796301306012922
ATLAS (C/2025 N1),2461013.5,A.D. 2025-Dec-04 00:00:00.0000,12.5,-1.569625918416079,4.5,1.024130194693195,0.01319174746568661,-0.005335700770750625,0.03746248824421827,-0.002249343122506034,0.01082465605296545,1.874231096115695,0.02492320553868686,1.8742310961156952,0.03790735116894804
ATLAS (C/2025 N1),2461014.5,A.D. 2025-Dec-05 00:00:00.0000,12.5,-1.574926774878297,4.5,1.061569706638345,0.0109421293799133,-0.005266433860488065,0.03741656632693939,-0.002249873002897134,0.01096959983004586,1.8993273331567,0.02526679935304556,1.8993273331567,0.037852300984673515
ATLAS (C/2025 N1),2461015.5,A.D. 2025-Dec-06 00:00:00.0000,12.5,-1.580159614996025,4.5,1.098963398585073,0.008692040122286526,-0.005199653551582535,0.03737085790943009,-0.002250286880357009,0.01111648584482437,1.924759858230509,0.02559588292318684,1.9247598582305088,0.037797899531418475
ATLAS (C/2025 N1),2461016.5,A.D. 2025-Dec-07 00:00:00.0000,12.5,-1.58532688192137,4.5,1.136311511970584,0.006441591531536095,-0.005135273099120369,0.03732541783270006,-0.002250593005417295,0.01126523203458158,1.950514462617714,0.02591105681614893,1.9505144626177133,0.03774417855860989
ATLAS (C/2025 N1),2461017.5,A.D. 2025-Dec-08 00:00:00.0000,12.5,-1.590430932580597,4.5,1.173614340045299,0.004190887427553198,-0.005073206852649497,0.03728029495555837,-0.002250799167222481,0.01141575976080564,1.976577530482066,0.02621290600638728,1.9765775304820654,0.03769116496785911
ATLAS (C/2025 N1),2461018.5,A.D. 2025-Dec-09 00:00:00.0000,12.5,-1.595474038927862,4.5,1.210872222108661,0.001940024066417459,-0.005013370565239783,0.03723553258837475,-0.002250912706595056,0.01156799371555603,2.00293602265787,0.02650199868879929,2.0029360226578707,0.037638881221112856
ATLAS (C/2025 N1),2461019.5,A.D. 2025-Dec-10 00:00:00.0000,12.5,-1.600458389480598,4.5,1.248085538171434,-0.0003109094185875737,-0.004955681648764723,0.03719116891181108,-0.002250940530907958,0.01172186182185255,2.029577459402861,0.02677888539000892,2.0295774594028613,0.037587345728375805
ATLAS (C/2025 N1),2461020.5,A.D. 2025-Dec-11 00:00:00.0000,12.5,-1.605386091085753,4.5,1.285254704028177,-0.002561830591537172,-0.004900059381221064,0.03714723737813758,-0.002250889130298262,0.01187729512969955,2.056489902395373,0.02704409833953508,2.0564899023953727,0.0375365732139215
ATLAS (C/2025 N1),2461021.5,A.D. 2025-Dec-12 00:00:00.0000,12.5,-1.610259170871639,4.5,1.322380166721613,-0.004812663305143774,-0.004846425071550793,0.03710376709345645,-0.002250764594822278,0.01203422770914351,2.083661936217819,0.02729815106565336,2.083661936217818,0.03748657506042561
ATLAS (C/2025 N1),2461022.5,A.D. 2025-Dec-13 00:00:00.0000,12.5,-1.615079578345505,4.5,1.359462400379197,-0.007063337309517742,-0.004794702187045989,0.0370607831797504,-0.00225057263221204,0.01219259654156755,2.111082649534927,0.02754153818396103,2.1110826495349277,0.037437359630879366
ATLAS (C/2025 N1),2461023.5,A.D. 2025-Dec-14 00:00:00.0000,12.5,-1.619849187601756,4.5,1.396501902401377,-0.009313787878861812,-0.004744816448017882,0.03701830711616542,-0.002250318585947244,0.01235234141025109,2.138741616144733,0.02777473534979557,2.1387416161447335,0.03738893256848053
ATLAS (C/2025 N1),2461024.5,A.D. 2025-Dec-15 00:00:00.0000,12.5,-1.624569799610287,4.5,1.433499189980675,-0.01156395545629786,-0.004696695894009287,0.03697635705933926,-0.002250007453405028,0.01251340479106506,2.166628876053039,0.02799819934867456,2.1666288760530388,0.03734129707496688
ATLAS (C/2025 N1),2461025.5,A.D. 2025-Dec-16 00:00:00.0000,12.5,-1.629243144558433,4.5,1.47045479693065,-0.01381378531679604,-0.004650270925431915,0.03693494814291102,-0.002249643903892582,0.01267573174403206,2.194734916697639,0.0282123683017823,2.194734916697638,0.03729445416806317
ATLAS (C/2025 N1),2461026.5,A.D. 2025-Dec-17 00:00:00.0000,12.5,-1.633870884223735,4.5,1.507369270804118,-0.01606322724801248,-0.00460547432413377,0.03689409275659865,-0.002249232296407441,0.01283926980635601,2.223050654426977,0.02841766196620045,2.223050654426977,0.03724840291886301
ATLAS (C/2025 N1),2461027.5,A.D. 2025-Dec-18 00:00:00.0000,12.5,-1.638454614358065,4.5,1.544243170280476,-0.01831223524870152,-0.004562241256031392,0.03685380080542719,-0.002248776696996553,0.013003968887416,2.251567416318893,0.02861448211204245,2.251567416318893,0.03720314067007375
ATLAS (C/2025 N1),2461028.5,A.D. 2025-Dec-19 00:00:00.0000,12.5,-1.642995867066605,4.5,1.581077062802618,-0.02056076724423802,-0.004520509258606615,0.03681407994983589,-0.002248280895625566,0.01316978116612225,2.280276922408366,0.02880321296091538,2.2802769224083663,0.037158663236124254
ATLAS (C/2025 N1),2461029.5,A.D. 2025-Dec-20 00:00:00.0000,12.5,-1.647496113167779,4.5,1.61787152244475,-0.02280878481873492,-0.004480218215741086,0.03677493582750419,-0.002247748422464987,0.0133366609909486,2.309171268378666,0.02898422167218322,2.3091712683786665,0.037114965086180576
ATLAS (C/2025 N1),2461030.5,A.D. 2025-Dec-21 00:00:00.0000,12.5,-1.651956764522629,4.5,1.654627127993261,-0.02505625296313203,-0.004441310322079933,0.03673637225779477,-0.002247182563559901,0.01350456478288288,2.338242908757739,0.02915785886535585,2.338242908757739,0.03707203951112286
ATLAS (C/2025 N1),2461031.5,A.D. 2025-Dec-22 00:00:00.0000,12.5,-1.656379176324123,4.5,1.691344461223748,-0.02730313983863193,-0.004403730038844077,0.03669839142977852,-0.002246586375830073,0.01367345094147426,2.367484640650807,0.02932445916859913,2.3674846406508063,0.03702987877555535
ATLAS (C/2025 N1),2461032.5,A.D. 2025-Dec-23 00:00:00.0000,12.5,-1.660764649338709,4.5,1.728024105358251,-0.02954941655479016,-0.00436742404276782,0.03666099407479425,-0.002245962701391384,0.01384327975410305,2.396889588030921,0.02948434178481628,2.3968895880309207,0.03698847425587445
ATLAS (C/2025 N1),2461033.5,A.D. 2025-Dec-24 00:00:00.0000,12.5,-1.665114432093983,4.5,1.764666643687726,-0.03179505696158069,-0.004332341169622437,0.03662417962452584,-0.002245314181178807,0.01401401330855298,2.426451186601322,0.02963781106808016,2.4264511866013216,0.03694781656541753
ATLAS (C/2025 N1),2461034.5,A.D. 2025-Dec-25 00:00:00.0000,12.5,-1.669429723007713,4.5,1.801272658345753,-0.03404003745473894,-0.004298432353588556,0.03658794635554963,-0.002244643267875312,0.01418561540892769,2.45616316923683,0.02978515710433586,2.4561631692368295,0.036907895667661304
ATLAS (C/2025 N1),2461035.5,A.D. 2025-Dec-26 00:00:00.0000,12.5,-1.673711672454618,4.5,1.837842729220414,-0.03628433679368328,-0.004265650563562855,0.03655229152128779,-0.002243952238148008,0.014358051494921,2.486019552005923,0.02992665629130667,2.4860195520059234,0.03686870097840065
ATLAS (C/2025 N1),2461036.5,A.D. 2025-Dec-27 00:00:00.0000,12.5,-1.677961384768306,4.5,1.874377432992214,-0.03852793593133553,-0.004233950737330926,0.03651721147227529,-0.002243243204206234,0.01453128856442382,2.516014620770552,0.03006257191342358,2.5160146207705516,0.03683022145779518
ATLAS (C/2025 N1),2461037.5,A.D. 2025-Dec-28 00:00:00.0000,12.5,-1.68217992017667,4.5,1.910877342286778,-0.04077081785516496,-0.004203289714399676,0.03648270176560523,-0.002242518124697715,0.01470529509942894,2.54614291835693,0.03019315470836081,2.54614291835693,0.03679244569311574
ATLAS (C/2025 N1),2461038.5,A.D. 2025-Dec-29 00:00:00.0000,12.5,-1.686368296669715,4.5,1.947343024931937,-0.04301296743880658,-0.004173626168160185,0.03644875726437998,-0.002241778814963081,0.01488004099517672,2.57639923228751,0.03031864342242598,2.576399232287511,0.0367553619729756
ATLAS (C/2025 N1),2461039.5,A.D. 2025-Dec-30 00:00:00.0000,12.5,-1.690527491799462,4.5,1.983775043309593,-0.04525437130362286,-0.004144920537945785,0.03641537222795026,-0.002241026956671986,0.01505549749247095,2.60677858306183,0.03043926535262436,2.60677858306183,0.0367189583537794
ATLAS (C/2025 N1),2461040.5,A.D. 2025-Dec-31 00:00:00.0000,12.5,-1.694658444412054,4.5,2.020173953793526,-0.04749501768960212,-0.004117134961456134,0.03638254039367952,-0.002240264106865797,0.0152316371130828,2.637276212972048,0.03055523687370664,2.637276212972048,0.036683222719072504
ATLAS (C/2025 N1),2461041.5,A.D. 2026-Jan-01 00:00:00.0000,12.5,-1.698762056312635,4.5,2.056540306265017,-0.04973489633501403,-0.004090233207936588,0.0363502550509258,-0.002239491706432916,0.01540843359815208,2.667887575437466,0.03066676394892762,2.667887575437465,0.0366481428324253
ATLAS (C/2025 N1),2461042.5,A.D. 2026-Jan-02 00:00:00.0000,12.5,-1.702839193863919,4.5,2.092874643698839,-0.05197399836426838,-0.004064180612431249,0.03631850910788768,-0.002238711088043525,0.01558586184948926,2.698608324841275,0.03077404262359782,2.698608324841275,0.03661370638443903
ATLAS (C/2025 N1),2461043.5,A.D. 2026-Jan-03 00:00:00.0000,12.5,-1.706890689519663,4.5,2.129177501812769,-0.05421231618344893,-0.004038944011366618,0.03628729515191764,-0.002237923483570826,0.01576389787367664,2.729434306851981,0.03087725950080967,2.72943430685198,0.03657990103441585
ATLAS (C/2025 N1),2461044.5,A.D. 2026-Jan-04 00:00:00.0000,12.5,-1.710917343294474,4.5,2.165449408774391,-0.05644984338302301,-0.004014491679669972,0.0362566055038628,-0.00223713003102552,0.01594251872886467,2.76036154921147,0.03097659219897102,2.76036154921147,0.036546714447191965
ATLAS (C/2025 N1),2461045.5,A.D. 2026-Jan-05 00:00:00.0000,12.5,-1.714919924171564,4.5,2.201690884959467,-0.05868657464725321,-0.003990793269580934,0.03622643226695264,-0.002236331781030145,0.01612170247415787,2.791386252971457,0.03107220979098789,2.7913862529714573,0.0365141343255935
ATLAS (C/2025 N1),2461046.5,A.D. 2026-Jan-06 00:00:00.0000,12.5,-1.718899171450228,4.5,2.237902442756673,-0.06092250566986536,-0.00396781975127598,0.03619676737071361,-0.002235529702858907,0.01630142812148426,2.822504784159924,0.03116427322511168,2.822504784159924,0.03648214843893569
ATLAS (C/2025 N1),2461047.5,A.D. 2026-Jan-07 00:00:00.0000,12.5,-1.722855796034871,4.5,2.27408458641395,-0.06315763307554703,-0.003945543355392307,0.03616760261035451,-0.00223472469006821,0.01648167558984269,2.853713665859306,0.03125293572760776,2.8537136658593063,0.036450744647952026
ATLAS (C/2025 N1),2461048.5,A.D. 2026-Jan-08 00:00:00.0000,12.5,-1.726790481667555,4.5,2.31023781192214,-0.0653919543468848,-0.003923937517509568,0.03613892968203061,-0.002233917565741797,0.01666242566182408,2.885009570678366,0.03133834318751706,2.885009570678366,0.0364199109265056
ATLAS (C/2025 N1),2461049.5,A.D. 2026-Jan-09 00:00:00.0000,12.5,-1.730703886106004,4.5,2.346362606931997,-0.06762546775636137,-0.003902976824624163,0.03611074021436274,-0.002233109087373702,0.01684365994230388,2.916389313600022,0.03142063452387453,2.9163893136000225,0.03638963538040548
ATLAS (C/2025 N1),2461050.5,A.D. 2026-Jan-10 00:00:00.0000,12.5,-1.734596642249099,4.5,2.382459450700976,-0.06985817230306506,-0.003882636963631083,0.03608302579655634,-0.002232299951410905,0.01702536081920588,2.947849845187806,0.03149994203582013,2.9478498451878057,0.036359906263621934
ATLAS (C/2025 N1),2461051.5,A.D. 2026-Jan-11 00:00:00.0000,12.5,-1.738469359211851,4.5,2.418528814066581,-0.07209006765378023,-0.003862894671811702,0.03605577800343754,-0.002231490797476572,0.01720751142623974,2.979388245134074,0.03157639173609427,2.9793882451340736,0.03633071199216861
ATLAS (C/2025 N1),2461052.5,A.D. 2026-Jan-12 00:00:00.0000,12.5,-1.742322623351862,4.5,2.454571159443334,-0.07432115408814888,-0.003843727689312397,0.03602898841769659,-0.002230682212293558,0.01739009560751807,3.011001716133637,0.03165010366845001,3.011001716133636,0.03630204115589569
ATLAS (C/2025 N1),2461053.5,A.D. 2026-Jan-13 00:00:00.0000,12.5,-1.746156999249251,4.5,2.490586940840688,-0.07655143244761531,-0.003825114713587763,0.03600264864960476,-0.002229874733326684,0.01757309788396148,3.04268757806698,0.03172119220954535,3.0426875780669804,0.03627388252841597
ATLAS (C/2025 N1),2461054.5,A.D. 2026-Jan-14 00:00:00.0000,12.5,-1.749973030641988,4.5,2.526576603899515,-0.07878090408787758,-0.003807035355773235,0.03597675035444808,-0.00222906885216116,0.01775650342140394,3.074443262477878,0.03178976635589692,3.0744432624778777,0.0362462250753656
ATLAS (C/2025 N1),2461055.5,A.D. 2026-Jan-15 00:00:00.0000,12.5,-1.75377124131855,4.5,2.562540585944964,-0.08100957083459286,-0.00378947009894489,0.03595128524790089,-0.002228265017633344,0.01794029800031363,3.106266307330712,0.03185592999648941,3.1062663073307113,0.03621905796118311
ATLAS (C/2025 N1),2461056.5,A.D. 2026-Jan-16 00:00:00.0000,12.5,-1.75755213596976,4.5,2.598479316053758,-0.08323743494209798,-0.003772400258218656,0.03592624511954262,-0.002227463638728852,0.01812446798704828,3.138154352033502,0.0319197821716384,3.1381543520335025,0.03619237055457306
ATLAS (C/2025 N1),2461057.5,A.D. 2026-Jan-17 00:00:00.0000,12.5,-1.761316201001621,4.5,2.634393215134153,-0.08546449905491497,-0.003755807942637086,0.0359016218447042,-0.002226665087261947,0.01830900030656738,3.170105132713165,0.03198141731870361,3.1701051327131644,0.036166152432805854
ATLAS (C/2025 N1),2461058.5,A.D. 2026-Jan-18 00:00:00.0000,12.5,-1.765063905310916,4.5,2.67028269601698,-0.08769076617183313,-0.003739676018788832,0.03587740739481418,-0.002225869700348967,0.01849388241652694,3.202116477730149,0.03204092550524437,3.202116477730149,0.036140393384991025
